Reference, Value, Footprint, Datasheet, MPN
"D103","LED","LEDs:LED_0805","https://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTST-S220GKT.pdf","LTST-S220GKT"
"D101","NOPOP","LEDs:LED_0805",""
"D102","LED","LEDs:LED_0805","https://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTST-S220GKT.pdf","LTST-S220GKT"
"R102","470","Resistors_SMD:R_0805_HandSoldering","","RMCF0805JT470R"
"R103","NOPOP","Resistors_SMD:R_0805_HandSoldering",""
"R101","470","Resistors_SMD:R_0805_HandSoldering","","RMCF0805JT470R"
"U101","MCP73834","Housings_SSOP:MSOP-10_3x3mm_Pitch0.5mm","http://ww1.microchip.com/downloads/en/DeviceDoc/22005a.pdf","MCP73834-FCI/UN"
"R106","2k","Resistors_SMD:R_0805_HandSoldering","","ERJ-6ENF2001V"
"R105","10k","Resistors_SMD:R_0805_HandSoldering","","RC0805JR-0710KL"
"C102","4.7u","Capacitors_SMD:C_1206_HandSoldering","http://www.yuden.co.jp/productdata/catalog/en/mlcc_all_e.pdf","LMK316B7475KL-T"
"P103","CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.00mm","","M20-9990246"
"C101","4.7u","Capacitors_SMD:C_1206_HandSoldering","http://www.yuden.co.jp/productdata/catalog/en/mlcc_all_e.pdf","LMK316B7475KL-T"
"P101","USB_B","li_ion_charge_library:USB_Micro-B_10118193-0001LF","http://portal.fciconnect.com/Comergent//fci/drawing/10118193.pdf","10118193-0001LF"
"R104","1k","Resistors_SMD:R_0805_HandSoldering","","RC0805JR-071KL"
"P102","CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","","M20-9990246"
"R108","NOPOP","Resistors_SMD:R_0805_HandSoldering",""
"R107","NOPOP","Resistors_SMD:R_0805_HandSoldering",""
"R109","NOPOP","Resistors_SMD:R_0805_HandSoldering",""
"J101","CONN_01X02","","http://www.jst-mfg.com/product/pdf/eng/ePH.pdf","B2B-PH-K-S(LF)(SN)"
